,,,,,
Number,Name ,Description,Price ,Category ,Image link
1,1PH Panel,"Megha Electronics – 1 Phase Control Panel

The Megha Electronics 1-Phase Control Panel is a high-quality, reliable, and efficient solution designed to operate and protect single-phase electric motors and equipment. Built with precision and durable components, this panel ensures smooth performance, safety, and long operational life for residential, commercial, and industrial applications.

⭐ Key Features

Single Phase Operation: Suitable for 1PH pumps, motors, and machinery.

Advanced Protection System: Safeguards against overload, voltage fluctuation, short circuit, and dry run (optional).

Premium Quality Components: Uses heavy-duty switches, MCB/overload relay, and wiring for stable, long-term performance.

User-Friendly Design: Easy to install, operate, and maintain.

Weather & Dust Resistant Body: Strong enclosure for longer outdoor or indoor use (Metal/ABS as per model).

LED Indicators (Optional): Clear status display for Power, Load, and Fault conditions.",3500,Panel,https://drive.google.com/file/d/1Wu4ILcsEBdwr6jQsGBQKHg6kSbGLW6gt/view?usp=drive_link
2,2 PH,"Key Features:
Fully automatic digital control panel for 2 ph
Digital LED display for Voltage, Current & Timer.
Inbuilt protections: overload, dry run, High /low Voltage Protection
Manual / Auto switch with easy ON/OFF operation.
Durable powder-coated MS body with wall-mount design.
Adjustable Timer Delay
Suitable for agriculture, industrial & domestic use.
Technical Specifications:
Model: MEGHA 2 PH Digital Auto Panel
Power: 440 Volt
Capacity: Upto 7.5 Hp
Input Terminals: L1, L2
Output Terminals: R, Y, B
Display: Digital LED (V, A, Timer)
Controls: Auto / Manual switch, Push buttons
Protection: Overload, Dry run, 
Enclosure: Powder-coated MS body",3175,PANEL,"https://drive.google.com/file/d/1hsCDHJYr-vr7KocnofhbtHUmPMgQ_xtf/view?usp=drive_link , https://drive.google.com/file/d/1Aj_f2I5CKXMeJWOpCHd6qCSVl5j-85T9/view?usp=drive_link , https://drive.google.com/file/d/18I0Zro1bCrxNhZrPTqlGfK0-KCx2n84m/view?usp=drive_link "
3,3 PH,"Key Features:
Fully Automatic Operation: Turns on automatically when power is restored.
Comprehensive Protection: Includes safeguards against dry run, overload, and single-phasing.
Digital Display: Shows real-time voltage and current. 
Cyclic Timer
High/Low Voltage Protection
Adjustable Delay Timer
In put :440v
Technical Specifications:
Motor Rating: Upto 7.5HP
Starter Type: Direct On-Line (DOL)
Automation Grade: Fully Automatic & Manual
Protection: Overload, Dry Run, Single Phase Preventer, Under/Over Voltage",3980,PANEL,"https://drive.google.com/file/d/1xhPioYCQPk1axLehG_aWpZnlg-0z1lAv/view?usp=drive_link , https://drive.google.com/file/d/1ZOuacHp_LrEW_fG6qoUts6g8fkpdfZyu/view?usp=drive_link , https://drive.google.com/file/d/1f3rdvZXgPInulmFI5sT5aGB6eIzNnhoa/view?usp=drive_linK "
4,2/3 PANEL WITH SARER AND AUTO,"Keyeatures:
Auto ON/OFF for 2 & 3 Phase 
Digital display (Volt, Amp, Timer)
Protects from overload,  low/high voltage
Manual & Auto mode with Switch
Heavy-duty MS powder-coated body
Cyclic Timer
Adjustable Time Delay

Specs:
Motor: Up to 7.5 HP
Input: 440 V AC (3 Phase RYB)
No need of external Starter
Timer: Adjustable
Wiring: RYB input/output, ",5999,PANEL,"https://drive.google.com/file/d/1b7y4MT4vahoPK9msdP_c9lfIQSn-rOKR/view?usp=drive_link , https://drive.google.com/file/d/1xyBVbHv-WxcEXzfzOrgraNr5uwDYKH88/view?usp=drive_link , https://drive.google.com/file/d/18yVcPcdnqKJBXJhm30HwcmGo_k0XjhW1/view?usp=drive_link , https://drive.google.com/file/d/1r_fSjyBZdJn_QWqmPvt-wJehkrhk8aZS/view?usp=drive_link "
5,"1 ph panel For 3,5 HP Auto Starter ","Key Features:
Automatic digital control for single-phase pumps.
LED display for Voltage, Current & Timer.
Overload & dry run protection.
High/Low Voltage Protection
Cyclic Timer
Adjustable Delay timer
Auto/Manual switch with push buttons.
Durable powder-coated MS body.
🔹 Technical Specifications:
Input Voltage: 230 V 
Terminals: P, N (Input) | R, Y, B (Output)
Display: Digital LED
Protection: Overload, Dry run
Capacitors: Start & Run type",4575,PANEL,"https://drive.google.com/file/d/1TnHWtCFOlu0VXDQcRJ3LwJudQqdu-O9H/view?usp=drive_link , https://drive.google.com/file/d/19N9boUPbXwhHyYlLZR9JnDUPz9jDsBMx/view?usp=drive_link , https://drive.google.com/file/d/1TLPQzFPCU3WELVbCOOX06Gora2ar8jVg/view?usp=drive_link "
6,114K,,550,AUTO Switch,
7,113K,,650,AUTO Switch,https://drive.google.com/file/d/1Nqv6XU_egbHahNj_Qk-nElOKCK98HuDP/view?usp=drive_link
8,121K,,1050,AUTO Switch,https://drive.google.com/file/d/1tsqvifgwZPy1-4leU9oYTbZLowYUSS1r/view?usp=drive_link
9,101K,,,AUTO Switch,https://drive.google.com/file/d/1ZfAJuLO6VIi71lgfBQSjSUMLrSLNVX5Z/view?usp=drive_link
10,124K,,,AUTO Switch,https://drive.google.com/file/d/1MtAQ_sAzJ9YeAel2_TEHXzqOaIJxnvJH/view?usp=drive_link
11,334K,,650,AUTO Switch,
12,4G mobile auto,,6500,AUTO Switch,https://drive.google.com/file/d/1f8U0RCLSU_i5tY7zYPcESzANrTaVu-yP/view?usp=drive_link
13,305k,,,AUTO Switch,https://drive.google.com/file/d/1seiRISaFCTMf_zA75YWtJ02-pKUo7D8p/view?usp=drive_link
